Location;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;prelim 2023;change;change.1;Growth PA
DON/ALD;104000;140000;120000;125000;145000;122000;145000;135500;145000;170000;225000;240000.0;32.0;116.0;8.0
DONCASTER;720000;850000;999000;1176000;1297500;1366500;1320000;1270000;1280000;1500000;1500000;1320000.0;0.0;108.0;7.6
DONCASTER EAST;682000;789000;894500;1113500;1230000;1360000;1222000;1198000;1255000;1500000;1535000;1500000.0;2.0;125.0;8.5
DONNYBROOK;N/A;N/A;N/A;N/A;N/A;N/A;530000;540000;620000;604000;665000;623000.0;10.0;N/A;N/A
DONVALE;681000;735000;840000;964000;970000;1201000;1182500;1140000;1195000;1337500;1440000;1250000.0;8.0;111.0;7.8
DOREEN;450000;415000;430000;440000;470500;550000;601000;598000;625000;705000;741500;700000.0;5.0;65.0;5.1
DOVETON;290000;302000;310500;348000;405000;490000;543500;472000;500000;582500;625000;545000.0;7.0;116.0;8.0
DROMAN/A;451000;462000;492000;551000;583000;690000;786000;715000;762500;1000000;1100000;929500.0;10.0;144.0;9.3
DROUIN;290000;300000;311000;320000;347000;390000;455000;440000;469000;565000;622000;620000.0;10.0;114.0;7.9
DRUMCONDRA;744000;802500;742000;787500;777500;858500;1025500;900000;1157500;1700000;1322500;1300000.0;-22.0;78.0;5.9
DRYSDALE;360000;390000;401500;410000;409000;436500;515000;575500;585000;687500;744000;820000.0;8.0;107.0;7.5
DUNKELD;179000;210000;177500;191500;207500;210000;297500;225000;287500;588000;432500;N/A;-26.0;142.0;9.2
DUNOLLY;159000;182500;170000;167500;180000;179000;206500;234500;209500;265000;320000;267500.0;21.0;101.0;7.2
EAGLE POINT;237000;227000;267000;341500;255000;250000;290000;354000;394500;409500;580000;530000.0;42.0;145.0;9.4
EAGLEHAWK;260000;264000;274000;283000;270000;295000;315000;321500;360000;440000;507500;535000.0;15.0;95.0;6.9
EAGLEMONT;1343500;1340000;1522500;1730000;1895500;1963000;1955000;1863000;2029000;2432500;2425000;2290000.0;0.0;80.0;6.1
EAST BAIRNSDALE;190000;226000;160000;202500;212500;222000;227000;235000;320000;355000;377500;300000.0;6.0;99.0;7.1
EAST BENDIGO;295000;285000;330000;300000;303500;335000;318000;390000;389500;465000;570000;585000.0;23.0;93.0;6.8
EAST GEELONG;395000;450000;427000;440000;512500;600000;637000;632500;815000;910000;846000;775000.0;-7.0;114.0;7.9
EAST MELBOURNE;2480000;1790000;1850000;2750000;3655000;3585000;2675000;3090000;2675000;3300000;3127500;3725000.0;-5.0;26.0;2.3
EAST WARBURTON;282500;289500;275000;305000;369000;392500;428500;458000;532500;645000;620000;726000.0;-4.0;119.0;8.2
EASTWOOD;332000;335000;342000;335000;357500;380000;385000;410000;417000;535000;590000;670000.0;10.0;78.0;5.9
ECHUCA;270000;285000;285000;300000;310000;320000;365000;372500;412000;467500;555000;591500.0;19.0;106.0;7.5
EDENHOPE;106000;160000;130000;115000;144500;160000;147000;169500;143000;206500;225000;345000.0;9.0;112.0;7.8
EDITHVALE;625000;615000;670000;766000;930000;1058500;1047500;950000;1029500;1240000;1366500;1267500.0;10.0;119.0;8.1
EILDON;185000;210000;205000;208500;210000;225000;258000;251500;285000;350000;430000;450000.0;23.0;132.0;8.8
ELLIMINYT;323000;332000;313000;318000;364000;366500;385000;445000;470000;517000;675000;925000.0;31.0;109.0;7.6
ELMORE;160000;184000;176000;200000;220000;162000;227500;235000;245000;332500;405000;310000.0;22.0;153.0;9.7
ELSTERNWICK;1155000;1365000;1315000;1621000;1723500;2087500;1970000;1825000;2081000;2175000;2275000;2325000.0;5.0;97.0;7.0
ELTHAM;590500;631500;670000;750000;820000;930000;942500;928000;995000;1234500;1261500;1040000.0;2.0;114.0;7.9
ELTHAM NORTH;580500;622000;680000;758000;850500;900000;930500;930000;1050000;1237500;1237000;1046000.0;0.0;113.0;7.9
ELWOOD;1287500;1350000;1412500;1631000;1830000;1900000;2140000;1950000;2110000;2217500;2600000;2030000.0;17.0;102.0;7.3
EMERALD;410500;440000;449500;502000;545000;660500;730000;660000;732500;881000;950000;882500.0;8.0;131.0;8.8
ENDEAVOUR HILLS;390000;400000;432000;496500;550000;630500;651000;620000;672000;750000;815000;710000.0;9.0;109.0;7.6
EPPING;365000;366500;386500;400000;455000;556500;600000;546000;577000;652500;677000;639000.0;4.0;85.0;6.4
EPSOM;315000;322500;342500;340000;340000;352000;357000;371500;431000;530000;600000;546500.0;13.0;90.0;6.7
ESSENDON;920000;870000;942000;1228000;1365000;1400000;1691000;1450000;1520000;1750000;1825000;1765000.0;4.0;98.0;7.1
ESSENDON NORTH;686000;725000;840000;808000;875000;1100000;1145000;1100000;1260000;1400000;1510000;1055000.0;8.0;120.0;8.2
ESSENDON WEST;720000;720000;785000;920000;962500;1296000;1221000;1180000;1275000;1390000;1265500;960000.0;-9.0;76.0;5.8
EUMEMMERRING;327500;353000;365000;408500;450500;517500;622000;540000;550000;628000;750500;580000.0;19.0;129.0;8.6
EUREKA;237000;243500;259000;247500;275000;251500;315500;360000;412500;430000;490000;N/A;14.0;107.0;7.5
EUROA;215000;208000;230000;235500;265000;239000;270000;309000;360000;407500;480000;490000.0;18.0;123.0;8.4
EYNESBURY;400000;390500;390000;403500;459000;484000;550000;555000;600000;676500;707500;658500.0;5.0;77.0;5.9
FAIRFIELD;825000;915000;945000;1111500;1303000;1496000;1316000;1295000;1395500;1700000;1800000;1304000.0;6.0;118.0;8.1
FAIRHAVEN;990000;785000;955000;897500;1052500;880000;1020000;1395000;1478000;1890000;2786000;1830000.0;47.0;181.0;10.9
FAWKNER;406500;410000;444000;510000;587500;705000;720000;665000;715000;815000;770000;777000.0;-6.0;90.0;6.6
FERNTREE GULLY;429500;451000;505000;599000;660000;749000;732500;692000;750000;865000;873000;860000.0;1.0;103.0;7.4
FERNY CREEK;456000;497500;492500;621000;735000;798000;830000;800000;908000;1120000;940000;1040000.0;-16.0;106.0;7.5
FINGAL;600000;677500;730000;857500;840000;1000000;1350000;1240000;1312500;1807500;1975000;N/A;9.0;229.0;12.7
FITZROY;918500;945000;1130000;1297500;1600000;1625000;1450000;1400000;1400000;1520000;1502500;1715000.0;-1.0;64.0;5.0
FITZROY NORTH;871000;976000;1014000;1188000;1279000;1450000;1475000;1385000;1600000;1706000;1620000;1600000.0;-5.0;86.0;6.4
FIVEWAYS;343500;355000;315000;380000;417500;525000;542500;485000;530000;751500;825000;390000.0;10.0;140.0;9.2
FLEMINGTON;652000;735500;730000;830000;918000;1100000;926500;1000000;1035000;1261500;1103500;1117500.0;-13.0;69.0;5.4
FLINDERS;710000;765000;808000;839000;1225000;1525000;1697500;1670000;2085000;2667500;3342000;N/A;25.0;371.0;16.8
FLORA HILL;309000;310000;323500;321000;325000;335000;352500;370000;395000;481000;550000;512500.0;14.0;78.0;5.9
FLOWERDALE;250000;292500;170000;255000;237500;310000;390000;287500;400000;475000;530000;624000.0;12.0;112.0;7.8
FOOTSCRAY;568000;600000;645000;690500;775000;883500;899000;820000;873000;970000;990000;860000.0;2.0;74.0;5.7
FOREST HILL;565000;650500;721000;892000;933500;1060000;935000;900000;986000;1207500;1155500;1100000.0;-4.0;105.0;7.4
FOSTER;269500;298000;315000;325000;315000;320000;333500;330000;387500;457500;595000;590000.0;30.0;121.0;8.2
FRANKSTON;340000;350000;372000;426000;474000;600000;605000;581000;621500;750000;764500;698000.0;2.0;125.0;8.4
FRANKSTON NORTH;245000;255000;269000;297000;352000;470000;502000;423000;450000;580000;610000;555000.0;5.0;149.0;9.6
FRANKSTON SOUTH;510000;535000;560000;620000;690000;815500;855000;817500;860000;1150000;1185000;1080000.0;3.0;132.0;8.8
FRASER RISE;634500;455000;490000;465000;483000;541000;615000;595000;625000;675000;717500;700000.0;6.0;13.0;1.2
FYANSFORD;310000;386500;478000;688000;592500;610000;650000;660000;800500;845000;1065000;1112500.0;26.0;244.0;13.1
GARDEN CITY;965000;1055000;1055000;1320000;1440000;1650000;1507500;1375000;1602500;2074500;1850000;N/A;-11.0;92.0;6.7
GARDENVALE;956000;1150000;1180000;1348000;1857500;1880000;1830000;1740000;1900000;2120000;2005000;3000000.0;-5.0;110.0;7.7
GARFIELD;335000;405000;355000;370000;405000;414500;540000;518000;590000;715000;789000;745000.0;10.0;136.0;8.9
GEELONG;463000;500000;512000;607500;590000;735000;750000;720000;883500;950000;892500;830000.0;-6.0;93.0;6.8
GEELONG WEST;410000;440000;469000;490000;543500;654000;713000;675000;749500;882500;990000;900000.0;12.0;141.0;9.2
GEMBROOK;349000;344000;400000;440000;525000;565000;610000;650000;680000;789500;862500;934000.0;9.0;147.0;9.5
GISBORNE;429500;496000;510000;550000;635000;655000;770000;730000;810000;898500;1052500;975000.0;17.0;145.0;9.4
GLADSTONE PARK;380000;392500;400000;460000;525000;645000;630000;636500;640000;728000;730000;677500.0;0.0;92.0;6.7
GLEN HUNTLY;792500;977500;1135000;1350000;1330000;1415000;1253000;1440000;1342500;2002500;1570000;1513000.0;-22.0;98.0;7.1
GLEN IRIS;1200000;1310000;1500000;1800000;1935000;2025000;1927500;1967000;2130000;2492500;2500000;2235000.0;0.0;108.0;7.6
GLEN WAVERLEY;720000;815000;960000;1212500;1221000;1337500;1300000;1287500;1302500;1559000;1560000;1750500.0;0.0;117.0;8.0
GLENGARRY;232000;232500;283000;286000;277500;310000;300000;324000;388000;490000;576500;707500.0;18.0;148.0;9.5
GLENLYON;315000;300000;287500;321000;380000;525000;591000;567500;709000;730000;1000000;N/A;37.0;218.0;12.2
GLENROWAN;246000;230000;239000;225000;272500;300000;265000;372500;375000;500000;517000;400000.0;3.0;110.0;7.7
GLENROY;437500;454000;500000;560000;600000;730000;725000;700000;740000;835500;850000;735000.0;2.0;94.0;6.9
GOLDEN BEACH;206000;169500;172500;180000;212500;209500;225500;220000;270000;325000;355000;400000.0;9.0;72.0;5.6
GOLDEN POINT (BALLARAT);250000;265000;265000;259500;295000;302500;347500;370000;430000;515000;545000;575000.0;6.0;118.0;8.1
GOLDEN SQUARE;285000;295000;305000;306000;315000;320000;334000;340000;377500;469500;540000;507500.0;15.0;89.0;6.6
GORDON;229500;278500;303000;290000;330000;404000;402500;495000;618000;632500;690000;832000.0;9.0;201.0;11.6
GOUGHS BAY;220000;257500;247500;265000;235000;257500;345500;299500;360000;498500;710000;560000.0;42.0;223.0;12.4
GOWANBRAE;467500;616500;557500;573000;619000;790000;727500;700500;739000;940000;900000;967500.0;-4.0;93.0;6.8
GRANTVILLE;245000;215000;255000;250000;272500;339500;402500;397500;440000;540000;622500;600000.0;15.0;154.0;9.8
GREEN LAKE;250000;262500;254500;281500;305000;280000;270000;290000;360000;384500;440000;400000.0;14.0;76.0;5.8
GREENSBOROUGH;491000;534000;574000;635000;717000;830000;815000;798000;850000;1001000;996500;938500.0;0.0;103.0;7.3
GREENVALE;537000;550000;539500;500000;510000;650000;720000;715000;720000;820000;880000;825000.0;7.0;64.0;5.1
GROVEDALE;340000;352000;362000;370000;400000;432000;495000;505000;550000;655000;700000;630000.0;7.0;106.0;7.5
HADFIELD;430000;461500;500000;550000;624500;740500;741500;730000;745000;890000;888000;795000.0;0.0;107.0;7.5
HALLAM;360000;362500;380000;424000;455000;580000;630000;550000;600000;700000;720000;660000.0;3.0;100.0;7.2
HALLS GAP;233500;184500;224500;245000;272500;280000;355000;320000;350000;468000;570000;547500.0;22.0;144.0;9.3
HAMILTON;189000;192500;200000;200000;216000;190000;225000;209500;255000;339000;357000;402500.0;5.0;89.0;6.6
HAMLYN HEIGHTS;339500;363500;366500;382500;415000;500000;545000;540000;562000;708000;770000;755000.0;9.0;127.0;8.5
HAMPTON;1200000;1270000;1340000;1650000;1800000;2020000;1905000;1900000;2000000;2425000;2332000;2142500.0;-4.0;94.0;6.9
HAMPTON EAST;732500;770000;862500;1020000;1200000;1340000;1230000;1211500;1290500;1512500;1617500;1270000.0;7.0;121.0;8.2
HAMPTON PARK;320000;330000;337500;370000;410000;505000;550000;502000;538000;620000;665000;645000.0;7.0;108.0;7.6
HARCOURT;287500;309000;358000;295000;377500;385000;375000;420000;527500;604000;705000;578000.0;17.0;145.0;9.4
HARKNESS;329000;330000;340000;350000;360000;420000;485000;475000;490000;535000;595000;575000.0;11.0;81.0;6.1
HASTINGS;347000;345000;368000;365000;400000;507500;519500;506000;562000;651000;729000;682500.0;12.0;110.0;7.7
HASTINGS WEST;282500;280000;277000;289500;338000;425000;480000;430000;487500;590000;660000;577500.0;12.0;134.0;8.9
HAWTHORN;1405000;1575000;1606500;1916500;2245000;2650000;2506500;2200000;2512500;2915000;2475000;2601000.0;-15.0;76.0;5.8
HAWTHORN EAST;1300000;1247500;1554000;1850000;1890000;2350000;2221500;2087500;2383000;2300000;2521500;2215000.0;10.0;94.0;6.8
HEALESVILLE;380000;385500;400000;447500;457000;550000;601000;580000;602500;750000;810000;745000.0;8.0;113.0;7.9
HEATHCOTE;220000;227500;260000;240000;268500;275000;310000;335000;365000;390000;490000;532500.0;26.0;123.0;8.3
HEATHCOTE JUNCTION;395000;372500;422000;380000;437500;567000;594500;600000;738000;885000;905000;695000.0;2.0;129.0;8.6
HEATHERTON;630000;630000;712000;771000;845000;981000;935000;965000;964000;1140000;1147000;1095000.0;1.0;82.0;6.2
HEATHMONT;525000;589000;638000;760000;789000;925000;932000;873000;930000;1094000;1077000;1028000.0;-2.0;105.0;7.4
HEIDELBERG;750000;772500;840500;1060000;1150000;1280000;1114000;1107500;1283000;1500000;1410000;1265000.0;-6.0;88.0;6.5
HEIDELBERG HEIGHTS;500000;536500;555000;676500;750000;843000;820000;790000;805000;1000000;1041000;835000.0;4.0;108.0;7.6
HEIDELBERG WEST;400000;425500;461000;580000;630000;730000;700000;670000;719500;812500;807000;815000.0;-1.0;102.0;7.3
HEPBURN;275000;291000;330000;395000;377000;440000;425000;452500;535000;695000;675000;750000.0;-3.0;145.0;9.4
HEPBURN SPRINGS;310000;340000;350000;380000;418000;515000;490000;595000;570000;825000;925000;690000.0;12.0;198.0;11.6
HERNE HILL;321000;350000;357000;368500;402000;490000;550000;534000;600000;738000;765000;760000.0;4.0;138.0;9.1
HEYFIELD;171500;200000;180000;182500;195000;178500;193000;195000;230000;330000;370000;405000.0;12.0;116.0;8.0
HEYWOOD;153000;142000;150000;173000;160000;164000;166000;178000;185000;240000;326500;N/A;36.0;113.0;7.9
HIGHETT;682500;750000;850000;992500;1175000;1318500;1275000;1234000;1325000;1585500;1465000;1535000.0;-8.0;115.0;7.9
HIGHTON;460000;477500;510000;505000;555000;622500;681000;690000;744000;886000;950000;790000.0;7.0;107.0;7.5
HILLSIDE (MELTON);422500;430000;440000;470000;525500;620000;647000;641000;680000;730000;789000;720500.0;8.0;87.0;6.4
HOPETOUN;81000;88000;95500;75000;80000;92000;86000;66000;150000;157000;185000;220000.0;18.0;128.0;8.6
HOPPERS CROSSING;312500;321500;340000;365500;415000;516000;552000;526500;550000;585000;620000;625000.0;6.0;98.0;7.1
HORSHAM;220000;215000;215000;240000;245000;262500;255000;269000;260000;345000;380000;399500.0;10.0;73.0;5.6
HUGHESDALE;741500;820000;856000;1165000;1222500;1407000;1260000;1150500;1300000;1507500;1500000;1207500.0;0.0;102.0;7.3
HUNTINGDALE;590000;659000;728000;835000;924500;1132000;1010000;914000;1090000;1299500;1250000;1364000.0;-4.0;112.0;7.8
HUNTLY;215000;337500;325000;355000;340000;335000;357500;367500;383000;486500;570000;524000.0;17.0;165.0;10.2
HURSTBRIDGE;445000;482000;482000;547500;614500;714000;731000;700000;775000;900000;950000;902500.0;6.0;113.0;7.9
INDENTED HEAD;430000;390000;385000;382500;395000;455000;575500;606000;590000;752500;875000;864000.0;16.0;103.0;7.4
INGLEWOOD;186500;160000;145000;200000;152500;182500;180000;185000;214000;320000;390000;N/A;22.0;109.0;7.7
INVERLOCH;420000;431000;440000;425000;442500;495000;598000;590000;665000;891000;985000;1000000.0;11.0;135.0;8.9
INVERMAY PARK;370000;378000;387000;405000;377500;391000;465000;475000;485000;680000;670000;725000.0;-1.0;81.0;6.1
IRONBARK;280000;277000;280000;292500;365000;280000;320000;304000;438500;523000;525000;530000.0;0.0;88.0;6.5
IRYMPLE;215000;248000;228500;268000;257500;291000;310000;386500;354000;431000;455000;500000.0;6.0;112.0;7.8
IVANHOE;907500;1100000;1206000;1125000;1400000;1547500;1600000;1590000;1630000;1900000;1970000;1302500.0;4.0;117.0;8.1
IVANHOE EAST;1200000;1310000;1513000;1542500;1764500;1975000;1914000;1775000;2055000;2225000;2200000;4775000.0;-1.0;83.0;6.2
JACAN/A;310500;334000;342500;375000;423000;571500;555000;512500;555000;626000;642500;567500.0;3.0;107.0;7.5
JACKASS FLAT;357500;287500;360000;350500;345500;299000;310000;331500;401000;460000;520000;509000.0;13.0;45.0;3.8
JAMIESON;267500;205000;210000;258500;220000;266500;265000;311500;345000;410000;625000;540000.0;52.0;134.0;8.9
JAN JUC;570000;555000;595000;615000;716000;850000;905000;870000;964000;1333500;1400000;1260000.0;5.0;146.0;9.4
JEERALANG NORTH;159500;145500;187500;175000;140000;248000;170000;235000;240000;283500;402500;357500.0;42.0;152.0;9.7
JEPARIT;59000;80500;63000;89000;124000;66500;77000;81000;110000;129000;150000;133500.0;17.0;154.0;9.8
JUNCTION VILLAGE;300000;312000;320000;370000;389000;436000;509000;483500;515000;605000;635000;630000.0;5.0;112.0;7.8
JUNORTOUN;465000;490000;508500;417500;490000;512500;506500;530000;599000;682000;885000;867500.0;30.0;90.0;6.6
KALIMN/A;281500;230000;285000;300000;270000;276500;326500;292500;350000;467000;510000;537500.0;9.0;81.0;6.1
KALKALLO;272500;450000;450000;180000;432500;529500;548000;538000;555000;611500;650000;645000.0;6.0;139.0;9.1
KALLISTA;452500;425000;465000;523000;567500;676000;737500;700000;715000;910000;1000000;605500.0;10.0;121.0;8.3
KALORAMA;420000;442500;451000;496000;533000;670000;686500;645000;697500;822500;1060000;950000.0;29.0;152.0;9.7
KANGAROO FLAT;284500;292500;300000;303000;300000;310000;325000;340000;380000;465000;535000;495000.0;15.0;88.0;6.5
KANGAROO GROUND SOUTH;631000;615000;655000;650000;670000;853500;930000;815500;970000;1217000;1130000;920000.0;-7.0;79.0;6.0
KANIVA;87000;75000;87500;100000;125000;157500;164000;169500;115000;174000;205000;255000.0;18.0;136.0;8.9
KEALBA;375000;370000;390000;400000;470000;595000;612000;596000;600000;660000;705000;665000.0;7.0;88.0;6.5
KEILOR;592500;572500;633000;703000;805000;845000;817000;836500;885000;1070500;1000000;1043500.0;-7.0;69.0;5.4
KEILOR DOWNS;400000;403500;429000;496500;562000;670000;660000;630000;660000;775000;770000;790000.0;-1.0;93.0;6.8
KEILOR EAST;527500;560000;599000;651000;720000;843000;830000;835000;842000;1000000;992500;960000.0;-1.0;88.0;6.5
KEILOR LODGE;480000;490000;500000;555500;607500;760000;715000;740000;757500;865000;880000;980000.0;2.0;83.0;6.2
KEILOR PARK;480000;455000;512500;565000;650000;741000;770000;704000;735000;820500;892500;795000.0;9.0;86.0;6.4
KENNINGTON;300000;351500;345000;334000;355000;372000;383500;374000;428500;550000;595000;587500.0;8.0;98.0;7.1
KENSINGTON;650000;690000;737500;823500;908000;1019000;1020000;978000;1106500;1165000;1200000;927500.0;3.0;85.0;6.3
KERANG;150000;152000;145000;152000;167000;160000;177000;170000;198500;239000;275500;226500.0;15.0;84.0;6.3
KEW;1500000;1751000;1950000;2080000;2207500;2317500;2380000;2310000;2251500;2775000;2850000;2735000.0;3.0;90.0;6.6
KEW EAST;1005000;1210000;1314000;1600000;1655000;1876000;1800000;1837000;1785000;1990000;2040000;4600000.0;3.0;103.0;7.3
KEW NORTH;995500;1260000;1301000;1665000;1827500;1880000;1767500;1833000;1840000;2086000;2255000;2607500.0;8.0;127.0;8.5
KEYSBOROUGH;425000;435000;456500;559500;650000;730000;745000;735000;756000;887500;911500;901000.0;3.0;114.0;7.9
KIALLA;318500;360000;365000;367500;374000;390000;418000;450000;482500;543000;640000;690000.0;18.0;101.0;7.2
KILCUNDA;350000;375000;320000;400000;480000;504000;496000;533000;702500;865000;900000;545000.0;4.0;157.0;9.9
KILLARA (WODONGA);116500;351000;346000;360000;425000;400000;420000;453500;447500;560000;658500;650000.0;18.0;465.0;18.9
KILMORE;312000;327500;319000;336500;333000;387500;440000;435000;477000;548000;600000;600000.0;9.0;92.0;6.8
KILSYTH;415000;435000;460000;548500;620000;698500;685500;645000;677500;781500;840000;760000.0;8.0;102.0;7.3
KILSYTH SOUTH;501000;542500;575000;676000;738000;845000;826000;780500;870000;977500;1080000;865000.0;10.0;116.0;8.0
KINGLAKE;310000;330000;318000;340000;346000;458000;480000;555000;600000;640000;770000;645000.0;20.0;148.0;9.5
KINGS PARK;324000;315000;325000;355000;415000;532500;550000;510000;550000;600000;630000;600000.0;5.0;94.0;6.9
KINGSBURY;437500;470000;502500;560000;610000;731000;730000;660000;732500;850000;782000;774000.0;-8.0;79.0;6.0
KINGSVILLE;597500;635000;703500;785000;925000;1020000;990000;1010000;970000;1225000;1287500;1090000.0;5.0;115.0;8.0
KNOXFIELD;465000;500000;580000;681000;741000;870000;815000;760000;810000;980000;970000;808000.0;-1.0;109.0;7.6
KOO WEE RUP;320000;315000;335000;345000;400000;450500;508500;550000;540000;610000;700000;640000.0;15.0;119.0;8.1
KOONDROOK;165000;147500;155000;198500;165000;247500;268000;212500;254000;322500;320000;303000.0;-1.0;94.0;6.8
KOROIT;290000;275000;300000;296000;294000;325000;352000;347500;390000;490000;560000;470000.0;14.0;93.0;6.8
KORUMBURRA;240000;236000;222500;262500;257500;292000;317500;320000;391000;480000;515000;476000.0;7.0;115.0;7.9
KURUNJANG;281000;287000;280000;289500;310000;370000;435000;420000;432000;485000;550000;500000.0;13.0;96.0;6.9
KYABRAM;217500;237000;235000;240000;234000;239000;261000;263000;280000;319500;400000;455000.0;25.0;84.0;6.3
KYNETON;370000;369000;400000;425500;455000;495000;550000;595000;614000;760000;897500;790000.0;18.0;143.0;9.3
LAKE BOGA;200000;200000;143500;245000;222500;182500;232500;239000;230000;320000;391000;280000.0;22.0;96.0;6.9
LAKE BUNGA;330000;197500;162500;270000;270000;392500;380000;300000;350000;600000;650000;530000.0;8.0;97.0;7.0
LAKE GARDENS;385000;445000;445000;461000;485000;461500;575000;552500;607500;705000;752000;925000.0;7.0;95.0;6.9
LAKE TYERS BEACH;274000;270000;354000;330000;268500;362500;300000;357500;375000;505000;655000;690000.0;30.0;139.0;9.1
LAKE WENDOUREE;545000;634000;650000;685000;700000;795000;775000;855000;1000000;1230000;1225000;945000.0;0.0;125.0;8.4
LAKES ENTRANCE;250000;269500;254000;255500;280000;281500;328000;300000;350000;425000;540000;525000.0;27.0;116.0;8.0
LALOR;360500;365000;385000;445000;499500;625500;625000;590000;623000;700000;700000;655000.0;0.0;94.0;6.9
LANCEFIELD;315000;377500;362000;360000;360000;416000;456000;500000;540000;685000;671500;727500.0;-2.0;113.0;7.9
LANG LANG;277500;285000;295000;316500;355000;390000;475000;495000;540000;657000;720000;631000.0;10.0;159.0;10.0
LANGWARRIN;375000;385000;420000;450000;503000;600000;642500;610000;660000;810000;860000;816000.0;6.0;129.0;8.7
LARA;335000;350000;340000;348000;355000;430000;515000;495000;535000;685000;700000;757500.0;2.0;109.0;7.6
LARA LAKE;355000;363500;398000;375000;395000;450500;525000;535500;575000;666000;702000;700000.0;5.0;98.0;7.1
LAUNCHING PLACE;340000;330000;337500;366000;435000;490000;531000;554000;572500;688500;767000;536000.0;11.0;126.0;8.5
LAVERTON;320000;325000;358000;377500;429000;535000;579000;529000;560000;605000;610000;565000.0;1.0;91.0;6.7
LAVERTON SOUTH;390500;392500;425000;450000;528500;610500;646000;622500;647500;730000;752000;684500.0;3.0;93.0;6.8
LEITCHVILLE;145000;98000;67500;100000;126500;100000;109500;106000;123500;227500;250000;442000.0;10.0;72.0;5.6
LENEVA;382000;361500;372500;370500;376000;397500;387500;426000;470000;554000;650000;730000.0;17.0;70.0;5.5
LEONGATHA;289000;300000;295500;305000;305000;320000;360000;370000;426000;505000;590000;605000.0;17.0;104.0;7.4
LEOPOLD;350000;360000;366500;365000;407000;447000;500500;510000;535000;652000;709000;695000.0;9.0;103.0;7.3
LILYDALE;420000;469000;482500;534000;633500;710500;705000;675500;716000;850000;877500;775000.0;3.0;109.0;7.6
LINDENOW;249500;200000;226000;212500;212000;245000;313500;282500;282500;385000;466000;342500.0;21.0;87.0;6.4
LISMORE;132500;110000;109000;115000;141500;155000;132500;144500;220000;176000;277500;260000.0;58.0;109.0;7.7
LOCH;286500;279000;242500;241000;339500;300000;398000;395000;444000;472500;468000;670000.0;-1.0;63.0;5.0
LOCH SPORT;165000;166000;153500;145000;178000;182000;230000;245000;247000;324500;390000;365000.0;20.0;136.0;9.0
LOCKINGTON;165000;175000;174000;220000;196000;149000;183000;222000;195000;243000;339000;385000.0;40.0;105.0;7.5
LONG GULLY;220000;230000;255000;244000;240000;256000;269000;280000;299500;385000;451500;400000.0;17.0;105.0;7.5
LONGWARRY;286500;289500;297500;307000;334000;377000;403000;406000;427500;512500;575000;577500.0;12.0;101.0;7.2
LORNE;800000;840000;815000;895000;765000;1150000;1275000;1297500;1497500;1960000;2150000;1824500.0;10.0;169.0;10.4
LOVELY BANKS;402000;360500;406500;388500;470000;460000;525000;570000;565000;662500;767500;650000.0;16.0;91.0;6.7
LOWER PLENTY;615000;680500;675000;770000;900000;980000;1055000;950000;909500;1220000;1335000;1410000.0;9.0;117.0;8.1
LUCAS;461000;348000;355000;389000;345000;349500;395000;431000;465000;582500;705000;620000.0;21.0;53.0;4.3
LUCKNOW;200000;235000;229000;230000;244500;261500;280000;275000;314500;355000;449000;400000.0;26.0;125.0;8.4
LYNBROOK;415000;430000;460000;500000;542500;595000;640000;623000;660000;750000;810000;814500.0;8.0;95.0;6.9
LYNDHURST;450000;465000;482500;550000;585000;625000;695000;665500;701500;815500;952500;841500.0;17.0;112.0;7.8
LYSTERFIELD;643500;681500;670000;780000;857500;995500;976500;956500;994500;1132000;1260000;810000.0;11.0;96.0;6.9
LYSTERFIELD SOUTH;830000;931500;1000000;1018500;1240000;1300000;1275000;775000;1410000;1618000;1844000;N/A;14.0;122.0;8.3
MACEDON;525000;490000;460000;532500;585000;696000;815000;800000;883000;1130000;1073000;1105000.0;-5.0;104.0;7.4
MACLEOD;555000;647500;705000;755000;868000;950000;922500;922500;972500;1156500;1140000;1102500.0;-1.0;105.0;7.5
MACS COVE;175500;244000;185000;189000;225000;240000;269500;300000;280000;450000;560000;N/A;24.0;220.0;12.3
MADDINGLEY;308000;316500;320000;332500;345000;395000;442000;460000;521000;560000;635000;635000.0;13.0;106.0;7.5
MAFFRA;235000;229000;215000;230000;258000;251500;261500;255000;315000;338000;378500;401000.0;12.0;61.0;4.9
MAIDEN GULLY;422500;440000;415000;430000;477000;471000;495500;514000;579000;725000;760000;705000.0;5.0;80.0;6.0
MAIDSTONE;499000;535000;587500;630000;695000;825000;798500;779000;789500;850000;885000;897500.0;4.0;77.0;5.9
MALDON;272500;315000;325000;339000;385000;426500;420000;510000;546500;624500;756000;802500.0;21.0;178.0;10.8
MALLACOOTA;267500;285000;285000;288500;325000;345000;280000;406500;415000;497000;500000;1120000.0;1.0;87.0;6.5
MALMSBURY;332500;292500;317500;397500;344000;447000;465000;475000;505000;750000;772500;855500.0;3.0;132.0;8.8
MALVERN;1550000;1508500;1946000;2230000;2332000;2750000;2661000;2570000;2865000;3001000;3020000;1750000.0;1.0;95.0;6.9
MALVERN EAST;1039000;1200000;1380000;1610000;1729000;1824000;1900000;1789000;1890000;2110000;2275000;1511000.0;8.0;119.0;8.2
